City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Jamestown,0,AU,1570828062,49.35,13.51,-33.21,138.6,56
Poya,16,NC,1570827535,71.74,12.61,-21.35,165.16,83
Hobart,20,AU,1570828104,50,9.17,-42.88,147.33,81
Mataura,100,NZ,1570828105,46,7,-46.19,168.86,93
Butaritari,100,KI,1570828105,85.48,7.4,3.07,172.79,59
Inhambane,99,MZ,1570828106,70.92,12.94,-23.87,35.38,79
Mazeikiai,100,LT,1570828106,52.63,14.05,56.32,22.33,94
Sorong,100,ID,1570828106,71.67,1.88,-0.86,131.25,99
Mount Isa,0,AU,1570828107,55.4,3.36,-20.73,139.49,24
Geraldton,90,CA,1570828107,57.2,8.05,49.72,-86.95,100
Souillac,0,FR,1570828107,64.4,1.12,45.6,-0.6,77
Taoudenni,69,ML,1570828108,89.71,8.82,22.68,-3.98,33
Atuona,7,PF,1570828108,78.84,12.45,-9.8,-139.03,68
Kapaa,75,US,1570828109,82.4,8.05,22.08,-159.32,78
Ribeira Grande,90,PT,1570827529,66.2,5.82,38.52,-28.7,72
Chokurdakh,93,RU,1570828109,13.98,6.43,70.62,147.9,95
Nome,90,US,1570827530,64.99,14.99,30.04,-94.42,72
Teya,40,MX,1570828110,93.2,4.7,21.05,-89.07,52
Mayakonda,100,IN,1570828110,70.59,3.35,14.29,76.08,92
Ramnagar,0,IN,1570828111,71.33,1.59,27.17,84.33,79
Faleula,20,WS,1570828111,87.01,9.17,-13.79,-171.83,70
Pinawa,100,CA,1570828111,32,12.17,50.15,-95.88,100
Lavrentiya,0,RU,1570828112,30.4,8.46,65.58,-170.99,63
Carnarvon,93,ZA,1570828112,63.21,5.44,-30.97,22.13,9
Dandong,95,CN,1570828112,50.95,7.18,40.12,124.37,68
Kungurtug,0,RU,1570828113,19.94,0.63,50.6,97.53,51
Mahon,75,IE,1570828113,51.01,6.93,51.89,-8.4,93
Avarua,67,CK,1570828114,73.4,9.17,-21.21,-159.78,56
Clyde River,75,CA,1570827728,32,25.28,70.47,-68.59,62
Saijo,100,JP,1570828114,75,5.99,33.92,133.18,61
Solhan,100,TR,1570828114,53.04,2.03,38.97,41.05,37
Winnemucca,1,US,1570827776,57.2,4.7,40.97,-117.74,9
Pacific Grove,1,US,1570828115,82.99,8.05,36.62,-121.92,10
Lebu,40,ET,1570828116,59,9.17,8.96,38.73,62
Hasaki,75,JP,1570828116,73.4,16.11,35.73,140.83,100
Longyearbyen,20,NO,1570828117,23,5.82,78.22,15.63,73
Havoysund,0,NO,1570828117,37.4,4.7,71,24.66,70
Nyurba,100,RU,1570827841,18.3,9.43,63.29,118.35,88
Dikson,100,RU,1570828118,30.61,21.03,73.51,80.55,93
Rocha,100,UY,1570828118,67.86,5.14,-34.48,-54.34,91
Taltal,1,CL,1570828118,58.96,6.17,-25.41,-70.49,72
Naze,75,NG,1570828119,77,3.38,5.43,7.07,94
Brigantine,90,US,1570828119,64.99,8.05,39.41,-74.36,67
Torbay,75,CA,1570828119,50,6.93,47.66,-52.73,70
Ostrovnoy,100,RU,1570827715,31.23,2.79,68.05,39.51,92
New Norfolk,20,AU,1570827590,50,9.17,-42.78,147.06,81
Ossora,100,RU,1570828164,42.84,19.61,59.24,163.07,88
Grand Gaube,75,MU,1570828165,71.6,8.05,-20.01,57.66,83
Nuevitas,40,CU,1570828165,87.8,12.75,21.55,-77.27,66
Basco,75,US,1570828166,46.99,10.29,40.33,-91.2,52
Luanda,75,AO,1570827770,77,11.41,-8.83,13.24,83
Beringovskiy,80,RU,1570828166,35.17,7.72,63.05,179.32,66
Saldanha,100,PT,1570828167,67.69,5.55,41.42,-6.55,45
Hokitika,0,NZ,1570828168,52.74,9.78,-42.72,170.96,74
Lazaro Cardenas,5,MX,1570828168,73.4,14.99,28.39,-105.62,33
Sitka,0,US,1570827661,54,18.01,37.17,-99.65,23
Narasannapeta,83,IN,1570828169,75.52,2.66,18.42,84.04,89
Caravelas,16,BR,1570828169,72.84,8.05,-17.73,-39.27,82
Luderitz,0,NA,1570828169,62.6,5.82,-26.65,15.16,67
Campina Verde,100,BR,1570828170,83.66,5.59,-19.54,-49.49,50
Pevek,65,RU,1570828170,23.81,20.44,69.7,170.27,73
Karratha,0,AU,1570828170,78.94,2.87,-20.74,116.85,75
Cape Town,89,ZA,1570828171,61,18.34,-33.93,18.42,82
San Juan,0,AR,1570828171,88.16,16,-31.54,-68.53,20
Norman Wells,75,CA,1570828172,35.6,4.7,65.28,-126.83,74
Saint George,20,GR,1570828172,66.2,3.59,39.45,22.34,88
Kruisfontein,47,ZA,1570827587,52.88,2.55,-34,24.73,58
Barrow,100,AR,1570828173,61.16,9.85,-38.31,-60.23,63
Aswan,56,EG,1570828173,90.93,8.15,24.09,32.9,24
Sungaipenuh,56,ID,1570828174,60.6,1.26,-2.08,101.38,93
Manali,0,IN,1570828174,46.35,5.06,32.25,77.19,60
Mecca,54,SA,1570828174,87.39,2.01,21.43,39.83,38
Puerto Ayora,20,EC,1570828175,80.6,13.87,-0.74,-90.35,51
Machinga,39,MW,1570828176,72.88,13.5,-15.18,35.3,74
Vostok,0,RU,1570828176,28.06,2.64,46.45,135.83,77
Mar del Plata,16,AR,1570828177,47.79,5.55,-46.43,-67.52,61
Kamenka,16,MD,1570827598,37.99,3.88,48.03,28.7,90
Kloulklubed,75,PW,1570828178,82.4,11.41,7.04,134.26,78
Vyazemskiy,0,RU,1570828178,29.95,4.34,47.53,134.76,67
Faya,100,SA,1570828179,68,4.7,18.39,42.45,37
Upernavik,100,GL,1570827837,30.85,9.89,72.79,-56.15,70
Saint-Philippe,1,CA,1570828179,68,12.75,45.36,-73.48,34
Severo-Kurilsk,95,RU,1570828180,46.65,5.52,50.68,156.12,98
Tuktoyaktuk,90,CA,1570828180,30.2,12.75,69.44,-133.03,92
Qaanaaq,100,GL,1570828181,25.47,8.3,77.48,-69.36,64
Catalina,20,PE,1570828181,71.6,10.29,-13.57,-76.13,30
San Cristobal,56,HN,1570827721,77.59,7.05,14.68,-86.92,74
Ahipara,96,NZ,1570828224,60.01,7.98,-35.17,173.16,100
Kuandian,66,CN,1570828225,50.65,7.2,40.73,124.78,70
Eureka,1,US,1570828225,68,6.93,40.8,-124.16,62
Pisco,20,PE,1570827650,71.6,10.29,-13.71,-76.2,30
Esperance,75,AU,1570828225,55.4,12.75,-33.86,121.89,100
Gamba,0,CN,1570827837,29.07,2.1,28.28,88.52,69
Naryan-Mar,92,RU,1570827828,32.86,11.23,67.67,53.09,93
Rong Kwang,3,TH,1570828227,68.67,0.49,18.34,100.32,96
Cabra,100,ES,1570828227,78.01,2.24,37.47,-4.43,44
Bluff,0,AU,1570828227,65.62,5.12,-23.58,149.07,77
Laguna,20,BZ,1570828228,87.8,6.93,16.17,-88.94,66
Carutapera,36,BR,1570828228,80.67,17.78,-1.2,-46.02,78
Storslett,2,NO,1570828229,37.36,9.35,69.77,21.03,66
Bethel,20,US,1570828229,35.6,13.87,60.79,-161.76,86
Placido de Castro,59,BR,1570828229,84.97,3.36,-10.34,-67.19,58
Yellowknife,75,CA,1570828230,42.01,24.16,62.45,-114.38,75
San Patricio,0,PY,1570828230,91.22,4.07,-26.98,-56.83,52
Norton,90,US,1570828231,55,12.75,41.97,-71.19,81
Tura,0,RU,1570828231,13.95,2.47,64.27,100.22,75
Krasnovishersk,100,RU,1570828231,42.53,11.02,60.4,57.08,91
Bermeo,33,ES,1570828232,75,3.3,43.42,-2.72,93
Porto Novo,40,BR,1570828232,87.8,2.24,-23.68,-45.44,35
Odoyev,78,RU,1570828232,45.21,7.59,53.94,36.69,93
Puerto Escondido,40,MX,1570828233,86,5.82,15.86,-97.07,70
Colac,17,AU,1570828233,53.01,5.01,-38.34,143.59,89
Sorland,40,NO,1570828233,44.6,13.87,67.67,12.69,63
Coihaique,40,CL,1570828234,55.4,11.41,-45.58,-72.07,28
Waingapu,32,ID,1570828234,77.29,2.56,-9.65,120.26,77
Ode,20,NG,1570828234,75.2,7.36,8.45,4.32,94
Saskylakh,100,RU,1570828234,12.04,3.21,71.97,114.09,89
Bredasdorp,100,ZA,1570828235,52,3.36,-34.53,20.04,87
Tazovskiy,99,RU,1570828235,31.66,8.47,67.47,78.7,94
Touros,20,BR,1570828235,80.6,11.41,-5.2,-35.46,69
Iquitos,75,PE,1570828236,84.2,11.41,-3.75,-73.25,74
Zhuanghe,40,CN,1570828236,61.56,12.78,39.7,122.97,50
Vila Franca do Campo,75,PT,1570828236,63,3.36,37.72,-25.43,93
Ambilobe,67,MG,1570828237,75.65,11.73,-13.19,49.05,70
Lagoa,20,PT,1570828237,71.6,10.29,37.14,-8.45,83
Balkanabat,0,TM,1570828238,63.77,14.24,39.51,54.36,26
Benguela,54,AO,1570828238,72.75,5.18,-12.58,13.4,83
Roald,40,NO,1570828239,48.2,6.93,62.58,6.12,70
Price,1,US,1570828239,52,5.82,39.6,-110.81,10
Komsomolskiy,83,RU,1570828240,28.96,11.92,67.55,63.78,90
Ahuimanu,1,US,1570828240,86,4.7,21.44,-157.84,94
San Policarpo,48,PH,1570827731,75.67,5.15,12.18,125.51,90
Bambous Virieux,75,MU,1570828284,71.6,8.05,-20.34,57.76,83
Presidencia Roque Saenz Pena,0,AR,1570828285,98.74,5.44,-26.79,-60.44,30
Ales,90,FR,1570828286,66.2,5.82,44.13,4.08,88
Calama,0,CL,1570828287,75.99,27.51,-22.46,-68.93,6
Tiksi,100,RU,1570828287,20.97,7.52,71.64,128.87,94
Coari,99,BR,1570828288,84.9,3.1,-4.09,-63.14,62
Codrington,90,AU,1570827712,55.4,17.22,-28.95,153.24,76
Lata,0,IN,1570828289,27.41,1.04,30.78,78.62,74
Henties Bay,2,NA,1570828290,63,5.99,-22.12,14.28,87
Ambon,90,FR,1570828290,62.6,10.29,47.55,-2.56,87
Elk Plain,1,US,1570828290,66,4.7,47.04,-122.37,26
Gondar,0,PT,1570828291,64,3.36,41.82,-8.78,87
Colares,20,PT,1570828292,70,3.36,38.8,-9.45,72
Praia da Vitoria,75,PT,1570828292,62.6,16.05,38.73,-27.07,93
Ponta do Sol,100,BR,1570828293,72.86,4.58,-20.63,-46,71
Chitral,0,PK,1570828293,40.15,0.38,35.85,71.79,52
Bakchar,100,RU,1570828293,29.39,3.62,57.02,82.07,74
Beloha,82,MG,1570828294,73.36,7.89,-25.17,45.06,75
Barcelona,20,ES,1570828295,72,6.93,41.38,2.18,88
Ponta Delgada,75,PT,1570828295,63,3.36,37.73,-25.67,93
Tornio,90,FI,1570828296,46.4,5.82,61.12,27.27,100
Ludvika,37,SE,1570828296,48.99,2.24,60.15,15.18,100
Yar-Sale,1,RU,1570828297,32.14,10.58,66.83,70.83,84
Muskogee,1,US,1570827782,55.99,16.11,35.75,-95.37,35
Fairbanks,90,US,1570828297,33.8,8.05,64.84,-147.72,80
Mackay,40,CA,1570828298,46.4,4.7,53.65,-115.58,39
Port Elizabeth,90,US,1570828298,68,10.29,39.31,-74.98,48
Sint-Amands,100,BE,1570828299,64,12.75,51.06,4.2,72
Arraial do Cabo,100,BR,1570828299,75.2,19.46,-22.97,-42.02,78
Marsabit,98,KE,1570828299,78.37,18.05,2.34,37.99,56
Tarbagatay,0,RU,1570828300,17.6,4.47,51.48,107.36,78
Panzhihua,41,CN,1570828300,59.05,1.07,26.59,101.72,97
Leningradskiy,100,RU,1570828301,26.46,4.6,69.38,178.42,52
Dicabisagan,32,PH,1570828301,74.75,7.87,17.08,122.42,83
Dakar,0,SN,1570828301,82.4,4.7,14.69,-17.45,83
Biak,87,ID,1570828302,79.45,9,-0.91,122.88,81
Klaksvik,100,FO,1570828302,46.4,13.87,62.23,-6.59,81
Isangel,90,VU,1570828303,71.6,9.13,-19.55,169.27,83
Caraquet,1,CA,1570828303,55.4,6.93,47.79,-64.94,62
Hithadhoo,100,MV,1570828303,82.04,17.85,-0.6,73.08,78
Mahebourg,75,MU,1570828304,71.6,8.05,-20.41,57.7,83
Mabaruma,36,GY,1570828304,83.21,5.4,8.2,-59.78,67
East London,70,ZA,1570828304,65.1,10.5,-33.02,27.91,81
Vanimo,100,PG,1570828305,81.54,6.14,-2.67,141.3,78
Tilichiki,100,RU,1570828305,33.31,3.28,60.47,166.1,92
Rio Gallegos,40,AR,1570828344,53.6,31.09,-51.62,-69.22,66
Kavaratti,100,IN,1570828345,84.13,0.61,10.57,72.64,63
Palmer,0,AU,1570827767,57,3.13,-34.85,139.16,87
Fortuna,1,US,1570828345,68,6.93,40.6,-124.16,62
Livingston,40,US,1570828346,88,3.28,32.58,-88.19,40
Tongzhou,67,CN,1570828346,69.01,6.46,32.07,121.07,84
Bonavista,70,CA,1570828346,46,8.45,48.65,-53.11,87
Margate,20,AU,1570828347,50,9.17,-43.03,147.26,81
Victoria,75,BN,1570828347,78.8,1.12,5.28,115.24,88
Cap-Chat,100,CA,1570828348,49.41,0.96,49.1,-66.68,72
Corn Island,100,NI,1570828348,81.18,19.3,12.17,-83.04,80
Timbuktu,60,ML,1570828349,89.58,14.2,16.77,-3.01,34
Kudat,75,MY,1570828350,75.2,7.04,6.89,116.84,94
Richards Bay,0,ZA,1570828350,67.1,16.65,-28.77,32.06,76
Saint-Pierre,0,FR,1570828351,59,11.41,48.95,4.24,87
Port-Gentil,75,GA,1570828351,77,2.24,-0.72,8.78,94
Amzya,100,RU,1570828351,45.7,11.1,56.24,54.39,87
Salalah,0,OM,1570828352,78.8,3.36,17.01,54.1,78
Neiafu,40,TO,1570828352,80.6,11.41,-18.65,-173.98,69
Port Lincoln,30,AU,1570828352,54.52,13.34,-34.72,135.86,82
Koutsouras,0,GR,1570828353,73.99,14,35.03,25.95,60
Te Anau,100,NZ,1570828354,39.97,6.81,-45.41,167.72,94
Camaguey,20,CU,1570828354,86,12.75,21.38,-77.92,70
San Carlos de Bariloche,0,AR,1570828355,53.01,1.01,-41.13,-71.31,50
Mandalgovi,100,MN,1570827827,22.82,6.45,45.76,106.27,95
Hofn,2,IS,1570828355,43.74,16.47,64.25,-15.21,61
Chifeng,99,CN,1570828356,36.41,13.07,42.27,118.96,35
Nanortalik,100,GL,1570828356,38.55,15.77,60.14,-45.24,89
Klyuchi,64,RU,1570828356,51.35,6.69,52.25,79.17,59
Obo,100,CF,1570828357,69.57,0.77,5.39,26.49,95
Fare,23,PF,1570828357,75.54,20.84,-16.7,-151.02,78
Lufilufi,40,WS,1570828357,87.8,13.87,-13.87,-171.6,66
Waddan,0,LY,1570828358,70.52,7.93,29.16,16.14,59
Dagana,0,MR,1570828358,94.12,5.57,16.52,-15.51,18
Luganville,75,VU,1570828359,78.8,2.24,-15.51,167.18,88
Ushibuka,59,JP,1570828359,75.22,25.86,32.19,130.02,77
Zhanaozen,100,KZ,1570828359,57.51,16.67,43.35,52.85,30
Betanzos,75,ES,1570828360,63,4.7,43.28,-8.21,93
Wolbrom,100,PL,1570828361,53.01,2.24,50.38,19.76,76
San Angelo,40,US,1570828362,61,11.41,31.46,-100.44,35
Bayonet Point,1,US,1570828363,89.6,5.82,28.33,-82.68,40
Mastic Beach,90,US,1570828404,62.6,21.92,40.77,-72.85,76
Iralaya,75,HN,1570828404,78.8,7.33,15,-83.23,88
Balaipungut,99,ID,1570828405,73.04,2.36,1.11,101.31,96
Constitucion,75,MX,1570827832,79,6.93,23.99,-104.67,27
Mildura,0,AU,1570828406,46,3.36,-34.18,142.16,75
Saint-Augustin,20,CA,1570828406,68,8.05,45.63,-73.98,34
Tucurui,80,BR,1570828407,83.46,2.57,-3.77,-49.67,63
Porbandar,0,IN,1570828407,84.09,10.77,21.64,69.61,69
Micheweni,34,TZ,1570828408,79.45,10.65,-4.97,39.83,83
Pinega,89,RU,1570828409,37.74,8.36,64.7,43.39,92
Nikolskoye,90,RU,1570828409,50,11.18,59.7,30.79,87
Dunedin,100,NZ,1570828409,46,15.41,-45.87,170.5,97
Lamu,0,CN,1570828410,34.59,3.01,35.77,102.37,87
Casa Grande,75,PE,1570828410,64.4,10.29,-7.74,-79.19,77
Cuamba,12,MZ,1570828412,71.49,12.85,-14.8,36.54,73
Camacha,75,PT,1570828412,71.6,3.36,33.08,-16.33,73
Belaya Gora,100,RU,1570828413,12.87,5.92,68.54,146.19,94
Ranong,47,TH,1570828414,80.56,3.91,9.96,98.62,79
Tortoli,20,IT,1570828415,64.4,10.29,39.93,9.66,82
Ondjiva,100,AO,1570828415,73.62,13.31,-17.07,15.73,56
Beawar,0,IN,1570828415,73.42,1.21,26.1,74.31,44
Nouadhibou,95,MR,1570828416,77,12.75,20.93,-17.03,53
Rawson,65,AR,1570828416,55,25.23,-43.3,-65.11,61
Tautira,40,PF,1570828416,80.6,12.75,-17.73,-149.15,57
Caconda,100,AO,1570828417,65.28,1.34,-13.73,15.06,74
Zheleznodorozhnyy,87,RU,1570828417,48.2,6.71,55.75,38,93
Muroto,100,JP,1570828417,71.83,6.93,33.37,134.14,76
Srednekolymsk,99,RU,1570828418,20.19,5.22,67.46,153.71,95
Eyl,2,SO,1570828418,79.93,5.38,7.98,49.82,86
Teguise,20,ES,1570828419,73.4,3.36,29.06,-13.56,73
Lalmohan,8,BD,1570828419,76.28,4.59,22.34,90.74,86
Najran,40,SA,1570828419,77,2.3,17.54,44.22,38
Okhotsk,85,RU,1570828420,24.87,4.76,59.36,143.24,75
Boali,20,CF,1570828420,71.6,2.51,4.81,18.11,100
Springfield,90,US,1570828420,61,9.17,42.1,-72.59,54
Golden,5,US,1570827834,53.6,4.18,39.76,-105.22,20
Karpogory,91,RU,1570828421,37.65,6.4,64,44.44,93
Altay,0,CN,1570828421,36.75,4.61,47.83,88.13,48
Orange Cove,1,US,1570828422,81,5.82,36.62,-119.31,11
Sur,0,OM,1570828422,80.89,11.34,22.57,59.53,62
Muros,75,ES,1570828422,60.01,3.36,42.77,-9.06,93
Morro Bay,1,US,1570828423,84.99,12.75,35.37,-120.85,5
Kubrat,0,BG,1570828423,57.85,6.52,43.8,26.5,60
Chuy,88,UY,1570828423,69.28,2.9,-33.69,-53.46,83
Hami,0,CN,1570828464,52.68,2.33,42.84,93.51,34
Ojinaga,40,US,1570828464,69.8,14.99,29.56,-104.41,26
Turka,99,RU,1570828465,30.16,1.27,52.95,108.22,56
Ternate,40,PH,1570828465,78.8,2.24,14.29,120.72,88
Mweka,99,CD,1570828465,68.63,0.93,-4.85,21.56,97
Port Augusta,0,AU,1570828466,46.4,4.7,-32.49,137.76,93
Guerrero Negro,0,MX,1570828466,87.75,9.51,27.97,-114.04,23
Mogadishu,1,SO,1570828466,79.65,14.12,2.04,45.34,86
Lappeenranta,75,FI,1570828467,46.4,3.36,61.06,28.19,100
Maturin,35,VE,1570828467,86.81,1.55,9.75,-63.18,65
Cidreira,1,BR,1570828468,73.18,13.78,-30.17,-50.22,71
Ichihara,75,JP,1570828468,75,17.22,35.47,140.12,94
Vaja,82,HU,1570828469,50,8.05,48,22.17,81
Kasongo-Lunda,60,CD,1570828469,68.47,1.72,-6.48,16.82,92
Talnakh,100,RU,1570828469,24.35,13.73,69.49,88.39,68
Kirakira,66,SB,1570828470,80.38,4.76,-10.46,161.92,78
Kainantu,100,PG,1570828470,59.14,0.91,-6.29,145.87,97
Hervey Bay,75,AU,1570828470,60.8,10.29,-25.3,152.85,93
Zhigansk,92,RU,1570828471,22.6,31.25,66.77,123.37,85
Kargasok,100,RU,1570828471,31.91,9.91,59.06,80.87,68
Broome,20,GB,1570828472,57.99,3.36,52.47,1.45,100
Dickinson,40,US,1570828472,35.01,28.86,46.88,-102.79,55
Newport,75,GB,1570828473,55.4,6.93,51.59,-3,100
Tubuala,40,PA,1570828473,82.4,4.7,9.52,-79.03,78
Sambava,10,MG,1570828474,67.12,2.76,-14.27,50.17,96
Gavrilovka Vtoraya,99,RU,1570828474,47.97,6.19,52.88,42.77,93
West Wendover,1,US,1570828474,42.8,6.93,40.74,-114.07,35
Ilovlya,100,RU,1570828475,52.12,4.85,49.31,43.98,81
Samarai,64,PG,1570828475,71.85,1.99,-10.62,150.67,84
Takoradi,16,GH,1570828475,77.86,8.55,4.89,-1.75,89
Katsuura,75,JP,1570828476,73.4,23.04,33.93,134.5,88
Povolzhskiy,100,RU,1570828476,47.77,3.86,53.59,49.76,96
Vilhena,86,BR,1570828476,80.6,3.36,-12.74,-60.15,74
Kaitangata,100,NZ,1570828477,46,11.01,-46.28,169.85,80
Ontario,1,US,1570828477,89.6,13.87,34.07,-117.65,2
Natal,20,BR,1570828477,80.6,10.29,-5.81,-35.21,74
Robertsport,75,LR,1570828478,80.37,13.48,6.75,-11.37,87
Xining,0,CN,1570828478,37.94,3.51,36.62,101.77,82
Tambacounda,40,SN,1570828478,86,4.7,13.77,-13.67,74
Viedma,100,AR,1570828479,65.14,16.4,-40.81,-62.99,42
Egvekinot,91,RU,1570828479,16.68,2.95,66.32,-179.17,76
Luchegorsk,0,RU,1570828479,33.33,4.57,46.44,134.3,62
Rock Springs,1,US,1570828480,44.6,16.11,41.59,-109.2,16
Linhares,16,BR,1570828480,72.95,5.63,-19.38,-40.06,78
Strezhevoy,99,RU,1570828480,34.03,4.7,60.73,77.6,72
Youhao,0,CN,1570828481,22.3,1.74,47.86,128.84,50
Roebourne,0,AU,1570828481,70.86,4.88,-20.77,117.15,32
Rimbey,20,CA,1570828524,44.6,9.17,52.64,-114.24,39
Kumbo,100,CM,1570828524,62.55,1.86,6.21,10.69,92
Bubaque,30,GW,1570828525,83.46,15.96,11.28,-15.83,82
Hattiesburg,75,US,1570828525,84.99,6.93,31.33,-89.29,94
Zhangjiakou,23,CN,1570828525,42.8,1.55,40.77,114.88,95
Mehamn,40,NO,1570828526,37.4,11.41,71.03,27.85,91
Anchorage,20,US,1570828526,46.4,4.7,61.22,-149.89,58
Beisfjord,0,NO,1570828527,36,14.99,68.38,17.6,100
Nuuk,75,GL,1570828527,35.6,1.12,64.17,-51.74,93
Datong,68,CN,1570828527,49.23,7.36,40.09,113.3,82
Nakhon Si Thammarat,21,TH,1570828528,76.96,2.94,8.43,99.96,84
Chara,20,GR,1570828528,66.2,3.59,39.42,22.43,88
Bilma,100,NE,1570828529,95.72,9.81,18.69,12.92,16
Diego de Almagro,0,CL,1570828529,72.14,7.92,-26.39,-70.05,31
Paulo Ramos,51,BR,1570828530,89.69,6.44,-4.45,-45.24,42
Tommot,100,RU,1570828530,15.26,15.55,58.97,126.27,92
Ancud,75,CL,1570828530,55.4,9.17,-41.87,-73.83,82
Russell,1,US,1570828531,53.01,23.04,38.9,-98.86,21
Talara,75,PE,1570828531,62.6,11.41,-4.58,-81.27,290
Alyangula,39,AU,1570828531,55.4,3.09,-13.85,136.42,93
Rome,0,IT,1570828532,66.2,5.82,41.89,12.48,88
Troy,75,US,1570828532,66.2,8.05,42.73,-73.69,39
Chumikan,7,RU,1570828532,24.6,21.21,54.72,135.31,47
Elko,1,US,1570828533,55.4,5.82,40.83,-115.76,19
Kumba,100,CM,1570828533,72.97,2.74,4.64,9.44,98
Yulara,68,AU,1570828534,73.4,4.7,-25.24,130.99,15
Upington,0,ZA,1570828534,77,2.24,-28.46,21.24,30
Praya,75,ID,1570828534,77,4.7,-8.71,116.27,88
Deputatskiy,100,RU,1570828535,14.85,6.39,69.3,139.9,94
Westport,90,US,1570828535,64,17.22,41.14,-73.36,55
Mitsamiouli,20,KM,1570828535,80.6,2.24,-11.38,43.28,69
Tamworth,100,AU,1570828536,52,9.17,-31.09,150.93,87
Huarmey,0,PE,1570828536,71.37,7.81,-10.07,-78.15,50
Moose Factory,1,CA,1570828537,71.6,18.34,51.26,-80.61,28
Tamandare,100,BR,1570828537,77.97,1.57,-8.28,-70.75,74
Plettenberg Bay,21,ZA,1570828538,59.88,2.59,-34.05,23.37,63
Olga,1,US,1570828538,89.6,3.36,34.11,-118.17,5
Champerico,40,MX,1570828538,89.6,5.82,16.38,-93.6,52
Vestmannaeyjar,100,IS,1570828539,47.25,8.86,63.44,-20.27,77
Oster,11,UA,1570828539,48,6.71,50.95,30.88,81
Quatre Cocos,75,MU,1570828539,71.6,5.82,-20.21,57.76,83
Esik,75,KZ,1570828540,44.6,4.47,43.36,77.47,75
El Reno,1,US,1570828540,55.99,14.99,35.53,-97.96,22
Acapulco,40,MX,1570828584,87.8,3.36,16.86,-99.88,74
Primorsko,20,BG,1570828584,63,8.41,42.27,27.75,93
Port Townsend,75,US,1570828585,64.99,8.05,48.12,-122.76,50
Lamar,1,US,1570828586,51.8,9.36,38.09,-102.62,18
Yelatma,30,RU,1570828586,43.18,4.52,54.97,41.75,94
Paamiut,90,GL,1570828586,36.9,4.46,61.99,-49.67,95
Athabasca,0,CA,1570828587,44.08,8.19,54.72,-113.29,47
